                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.64675,                0.89296,                0.46322,                 0.9462,                0.84147,                0.72921,                0.74018,                0.51141,                0.79426,                0.68163,                0.68459,                0.43168,                 0.6679,                0.95715,                0.44893,                0.88501,               0.008911,               0.008911,               0.008911
                     57,                0.65316,                0.88234,                0.45878,                0.95186,                0.79202,                0.74897,                 0.7253,                 0.5056,                0.75417,                0.69644,                0.67305,                0.42947,                0.67583,                0.92342,                0.46662,                0.88177,              0.0088912,              0.0088912,              0.0088912
                     58,                0.64048,                0.88254,                0.45281,                0.93935,                0.80642,                0.70153,                0.71565,                0.49911,                0.80402,                0.67604,                0.67718,                0.42764,                0.67722,                0.88258,                0.48865,                0.88701,              0.0088714,              0.0088714,              0.0088714
                     59,                0.64307,                0.85182,                0.45714,                0.94632,                  0.813,                0.75219,                0.73112,                0.51808,                0.76089,                0.70399,                0.68519,                0.42905,                0.65203,                0.90369,                0.44838,                0.88369,              0.0088516,              0.0088516,              0.0088516
                     60,                0.65722,                0.90303,                0.46371,                0.94899,                0.78822,                0.75732,                 0.7398,                 0.5171,                0.73124,                0.70356,                0.66935,                0.42888,                0.68811,                0.90379,                0.46575,                 0.9008,              0.0088318,              0.0088318,              0.0088318
                     61,                0.64232,                0.85506,                0.45953,                0.94329,                0.82312,                0.73968,                0.75737,                0.52352,                0.79275,                  0.711,                0.72014,                0.44465,                0.66757,                0.87166,                 0.4539,                0.88245,               0.008812,               0.008812,               0.008812
                     62,                0.64098,                0.89531,                0.44673,                0.94663,                0.86159,                0.73036,                0.75226,                0.53728,                0.77327,                0.68917,                0.67843,                0.42696,                0.64369,                 0.8701,                0.43132,                 0.8827,              0.0087922,              0.0087922,              0.0087922
                     63,                0.63901,                0.87931,                0.44753,                0.94548,                0.78159,                0.71739,                0.72211,                0.50517,                0.68728,                 0.6779,                0.65745,                0.41842,                0.67063,                0.90812,                0.45645,                0.88208,              0.0087724,              0.0087724,              0.0087724
                     64,                0.63261,                0.86712,                0.44722,                0.94532,                0.78024,                0.74421,                0.72568,                 0.5055,                 0.7386,                 0.6969,                0.67473,                0.40003,                0.66553,                0.91062,                0.45931,                0.88411,              0.0087526,              0.0087526,              0.0087526
                     65,                0.64455,                0.88658,                0.45556,                0.94355,                 0.8045,                0.76803,                0.73835,                0.53011,                0.77743,                 0.7135,                0.69186,                0.45399,                0.65625,                0.87909,                0.44553,                0.88538,              0.0087328,              0.0087328,              0.0087328
                     66,                0.62652,                0.86206,                0.44091,                0.94634,                0.77331,                0.73916,                0.73659,                0.52565,                0.74346,                0.69847,                0.69951,                0.43248,                0.66016,                0.87972,                0.46178,                0.88568,               0.008713,               0.008713,               0.008713
                     67,                0.62985,                0.83978,                0.44075,                0.94311,                0.82227,                0.75375,                0.73773,                0.53765,                 0.7811,                0.73301,                0.70907,                0.43541,                0.65972,                0.87171,                0.43335,                0.87758,              0.0086932,              0.0086932,              0.0086932
                     68,                0.63722,                 0.8506,                0.44635,                0.94512,                0.79028,                0.75737,                0.75324,                0.54519,                0.78309,                0.72601,                0.72888,                0.46547,                0.65984,                0.90245,                0.43467,                0.88822,              0.0086734,              0.0086734,              0.0086734
                     69,                0.63048,                 0.8506,                0.44166,                 0.9414,                0.81912,                0.74075,                0.74448,                 0.5247,                0.79089,                0.71007,                0.71081,                0.45803,                0.65819,                0.84836,                0.43772,                0.88264,              0.0086536,              0.0086536,              0.0086536
                     70,                0.62824,                0.85013,                0.44347,                 0.9404,                0.83216,                0.73428,                0.75406,                0.52575,                0.79489,                0.71069,                0.72002,                0.45265,                 0.6609,                 0.8926,                0.42702,                0.87415,              0.0086338,              0.0086338,              0.0086338
                     71,                0.62445,                0.83743,                0.44568,                 0.9386,                0.82148,                0.73672,                0.74293,                0.53021,                0.80263,                0.71897,                0.70933,                0.44725,                0.65431,                0.87182,                0.43003,                0.88317,               0.008614,               0.008614,               0.008614
