                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.68121,                 0.8627,                0.46797,                0.89158,                 0.7749,                0.74672,                0.73085,                0.50354,                0.73634,                0.72528,                0.69991,                0.42965,                0.71208,                0.93126,                0.47146,                0.88204,              0.0091486,              0.0091486,              0.0091486
                     45,                 0.6859,                 0.8955,                0.46871,                0.89483,                0.82222,                0.76057,                0.74691,                0.52086,                0.79301,                0.73945,                0.72117,                 0.4535,                0.67122,                0.89879,                0.43683,                0.87595,              0.0091288,              0.0091288,              0.0091288
                     46,                0.67817,                0.87712,                0.46969,                0.89269,                0.81623,                0.71804,                0.74466,                0.51962,                0.80586,                0.70761,                0.73049,                0.45386,                0.70335,                 0.9371,                0.48121,                0.88776,               0.009109,               0.009109,               0.009109
                     47,                 0.6738,                0.87047,                0.45816,                0.89367,                0.82495,                  0.743,                0.74785,                0.52565,                0.80296,                0.72995,                0.71932,                0.44674,                0.69285,                0.92918,                0.43516,                 0.8948,              0.0090892,              0.0090892,              0.0090892
                     48,                0.66928,                0.87991,                0.45637,                0.89234,                0.77461,                0.74366,                 0.7398,                0.52766,                0.76179,                0.71011,                0.70001,                0.45957,                0.67567,                0.91295,                0.46797,                0.88292,              0.0090694,              0.0090694,              0.0090694
                     49,                0.67616,                0.86764,                0.46071,                0.89376,                0.81773,                0.69754,                0.74294,                0.52804,                0.79796,                0.68061,                0.71263,                0.44311,                0.67046,                0.96924,                0.46403,                0.88219,              0.0090496,              0.0090496,              0.0090496
                     50,                0.66804,                0.87056,                0.44564,                0.88503,                0.81413,                0.74654,                0.74064,                0.52607,                 0.7602,                0.69567,                0.68288,                0.43784,                0.67609,                0.94424,                0.43849,                0.87976,              0.0090298,              0.0090298,              0.0090298
                     51,                0.66352,                0.84874,                0.45225,                0.89175,                0.75137,                0.72399,                0.73097,                0.50954,                0.72566,                0.70072,                0.69956,                0.43358,                0.68291,                0.91403,                0.46119,                 0.8804,                0.00901,                0.00901,                0.00901
                     52,                0.66118,                0.85991,                0.45279,                0.88686,                 0.8349,                0.71784,                0.73856,                0.50612,                0.75827,                0.65353,                0.66373,                0.41747,                0.68168,                0.98631,                0.48123,                0.88621,              0.0089902,              0.0089902,              0.0089902
                     53,                0.66322,                0.85524,                0.44767,                0.89331,                0.78592,                0.73737,                0.74555,                0.52429,                0.76957,                0.70358,                  0.717,                0.43719,                0.66638,                  0.934,                0.44877,                0.87814,              0.0089704,              0.0089704,              0.0089704
                     54,                0.66555,                0.84894,                0.44611,                0.89018,                0.85795,                0.71503,                0.74585,                0.52761,                0.75477,                0.70767,                0.70524,                0.43988,                0.67535,                0.92011,                0.43484,                0.88046,              0.0089506,              0.0089506,              0.0089506
                     55,                0.65782,                0.86262,                0.44971,                0.88907,                0.84384,                0.71165,                0.74236,                0.52352,                0.76262,                0.64595,                0.67168,                0.43667,                0.68242,                0.94858,                 0.4519,                0.89092,              0.0089308,              0.0089308,              0.0089308
                     56,                0.65133,                0.86098,                 0.4376,                0.88288,                0.83609,                0.72978,                0.74475,                0.53311,                0.80141,                0.69626,                0.70465,                0.44398,                0.67379,                 0.9115,                0.43594,                0.88854,               0.008911,               0.008911,               0.008911
                     57,                 0.6609,                0.84955,                0.45052,                0.88595,                0.84801,                0.70703,                0.74443,                0.52612,                0.77284,                0.65791,                0.67662,                0.43417,                0.66045,                0.89555,                0.45042,                0.87397,              0.0088912,              0.0088912,              0.0088912
                     58,                0.65417,                0.84668,                0.42975,                0.89583,                0.81565,                0.75848,                0.75495,                0.53066,                0.77684,                0.72439,                0.71385,                0.44336,                0.66006,                0.92451,                0.41819,                0.87675,              0.0088714,              0.0088714,              0.0088714
                     59,                0.64797,                0.85719,                0.44177,                0.88308,                0.85451,                0.73321,                0.74818,                0.52338,                0.78796,                0.67898,                0.67662,                0.43619,                0.68662,                0.92536,                0.44312,                0.87833,              0.0088516,              0.0088516,              0.0088516
                     60,                0.64965,                0.84146,                0.44175,                0.88712,                0.84461,                0.74732,                0.75606,                0.53303,                0.79378,                0.69763,                0.70619,                 0.4517,                0.66007,                0.89558,                0.43531,                0.87991,              0.0088318,              0.0088318,              0.0088318
                     61,                0.65098,                0.86111,                0.43288,                0.88786,                0.80477,                0.74277,                0.74609,                0.53033,                0.74831,                0.70163,                0.69834,                 0.4461,                 0.6564,                0.86819,                 0.4258,                0.87641,               0.008812,               0.008812,               0.008812
                     62,                0.64577,                0.85264,                0.43331,                0.88563,                0.84057,                0.71177,                0.73678,                0.52425,                0.78381,                0.66804,                0.68463,                0.43869,                 0.6625,                0.93563,                0.44764,                0.87457,              0.0087922,              0.0087922,              0.0087922
                     63,                0.64943,                 0.8408,                0.42725,                0.88564,                0.84867,                0.68529,                0.72982,                0.51423,                0.81379,                0.65636,                0.68415,                 0.4326,                0.65535,                 0.9302,                0.45746,                 0.8844,              0.0087724,              0.0087724,              0.0087724
                     64,                0.65032,                  0.857,                0.43468,                0.88338,                0.83984,                 0.7339,                0.75032,                0.52389,                0.81665,                0.70477,                0.72558,                0.44704,                0.67026,                0.86864,                0.44712,                0.87549,              0.0087526,              0.0087526,              0.0087526
                     65,                0.64577,                0.83552,                0.42676,                0.88426,                0.85995,                  0.733,                0.75929,                0.53868,                0.81103,                0.70141,                0.71666,                0.45256,                0.65681,                0.86816,                0.42257,                0.87104,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.6375,                0.82427,                0.42294,                0.88859,                 0.7931,                 0.7385,                0.74768,                 0.5269,                0.74894,                0.67967,                 0.6954,                0.43951,                0.65811,                0.89926,                0.46167,                0.87309,               0.008713,               0.008713,               0.008713
                     67,                0.64131,                0.82614,                0.42294,                0.88086,                0.82904,                0.73204,                0.76108,                0.53581,                0.78825,                 0.7065,                0.72262,                0.44918,                0.66143,                0.91724,                0.43325,                0.87834,              0.0086932,              0.0086932,              0.0086932
                     68,                0.63964,                0.83243,                0.42237,                0.88546,                0.82471,                0.71918,                0.75904,                0.54033,                0.78614,                0.68646,                0.72113,                0.46781,                 0.6447,                0.92398,                0.43285,                0.86665,              0.0086734,              0.0086734,              0.0086734
                     69,                0.64154,                0.83248,                0.41696,                0.87993,                0.78257,                  0.738,                 0.7564,                0.54811,                0.79629,                0.69089,                 0.7258,                0.46063,                0.63585,                0.91451,                0.45095,                0.87184,              0.0086536,              0.0086536,              0.0086536
                     70,                0.64347,                0.84506,                0.41619,                 0.8821,                0.82246,                0.74497,                0.75923,                 0.5428,                0.81559,                0.67873,                0.71638,                0.45407,                0.63266,                0.88675,                0.42787,                0.87077,              0.0086338,              0.0086338,              0.0086338
                     71,                0.63321,                0.82075,                0.40969,                0.87825,                0.86131,                 0.6975,                0.74666,                0.53787,                0.81154,                0.65922,                0.69797,                0.44134,                  0.672,                0.91357,                0.46836,                0.88688,               0.008614,               0.008614,               0.008614
                     72,                  0.636,                0.82867,                0.41274,                0.88258,                0.85588,                0.74737,                0.76617,                0.54036,                0.80728,                0.71304,                0.72456,                0.45589,                0.64186,                0.88557,                0.42588,                0.87154,              0.0085942,              0.0085942,              0.0085942
                     73,                0.63745,                0.81279,                0.41678,                0.87505,                0.79104,                  0.758,                0.74976,                0.53901,                0.76692,                0.70854,                0.68943,                0.43779,                0.64529,                 0.8865,                0.42711,                0.87653,              0.0085744,              0.0085744,              0.0085744
                     74,                0.63445,                0.82666,                0.40741,                0.87979,                0.82615,                 0.7454,                0.76266,                 0.5432,                 0.7755,                0.70006,                0.70688,                0.44327,                0.65519,                0.91488,                0.43004,                0.88497,              0.0085546,              0.0085546,              0.0085546
                     75,                0.62657,                0.81546,                0.40734,                0.87718,                0.83197,                0.74067,                0.76524,                 0.5566,                0.80306,                0.70309,                0.72121,                0.46279,                 0.6499,                0.91578,                0.42316,                0.87768,              0.0085348,              0.0085348,              0.0085348
                     76,                0.63077,                0.83169,                0.40753,                 0.8863,                0.78817,                0.73624,                0.74067,                0.52907,                0.72967,                0.68988,                0.68679,                 0.4389,                0.66751,                 1.0037,                0.45976,                0.88944,               0.008515,               0.008515,               0.008515
                     77,                0.62948,                 0.8099,                0.40731,                0.87949,                0.84502,                0.73658,                0.74982,                0.53137,                0.81472,                0.70482,                0.71418,                0.45355,                 0.6565,                0.95826,                0.43792,                 0.8835,              0.0084952,              0.0084952,              0.0084952
                     78,                 0.6327,                0.80772,                 0.4088,                0.88279,                0.82822,                0.75443,                 0.7515,                0.54466,                0.78263,                0.71276,                0.70774,                0.44947,                0.63861,                0.91332,                0.43573,                0.86644,              0.0084754,              0.0084754,              0.0084754
                     79,                0.63021,                0.81266,                0.40712,                0.87687,                0.83612,                0.71667,                0.74656,                0.53925,                0.77559,                0.67782,                0.69233,                0.44854,                0.64734,                0.93234,                0.45243,                0.86997,              0.0084556,              0.0084556,              0.0084556
